Code,Client,Nombre d'impayée,Total d'impayées,Chiffre d'affaire,Encaissement,score,Score_scaled,Classement
1046345.0,BINMA,22.0,1300000.0,0.0,0.0,-57200000.0,-1.0542971345909338,3
1046358.0,SO.SA.CIM,1.0,250000.0,62312702.4,-65366794.84,118017219.92,2.064897525033822,1
1046363.0,SOMACOTE S.A.,19.0,3548989.44,22565390.33,-26360672.82,-97321383.04,-1.7685328916259222,3
1046414.0,S.I.3,62.0,13781523.97,46146782.57,-56197371.69,-1636716585.3799996,-29.17265045714389,3
1046417.0,STE RICHE BOIS (B),1.0,54528.0,4522506.0,-2666571.0,12647826.0,0.1891249785157173,2
1046537.0,CIMABEL,1.0,35000.0,19126548.0,-20103220.8,36229750.4,0.6089273968267653,2
1046739.0,HAMOUNA MY LAHCEN,1.0,86900.0,5850006.3,-6200774.9,10824675.4,0.1566694834575939,2
1046788.0,MATERCA SARL,6.0,114283.2,5099926.66,-5639756.96,7748794.32,0.101913039754416,2
1046804.0,CATRAD,5.0,300000.0,63801950.58,-66718378.79,118771044.74,2.0783170185853703,1
1046975.0,STE COTER,24.0,3910188.0,0.0,0.0,-187689024.0,-3.377246140323832,3
1047100.0,STE BATIMENT BARJ DE CONSTRUCTION,2.0,97056.0,364920.0,-617552.0,-163648.0,-0.0389432518840508,3
1047189.0,ZERKDI ET FILS,12.0,6545120.890000001,0.0,0.0,-157082901.36,-2.832399838492905,3
1047195.0,ENEMATRAT,1.0,127428.6,7908088.88,-8193088.98,14991320.36,0.2308435669964056,2
1047297.0,IGHNANE DE MAT.,1.0,45000.0,0.0,0.0,-90000.0,-0.0376321795568165,3
1047319.0,GHATBEL SARL,1.0,45000.0,35361312.0,-36530758.19,68293731.62,1.179726311644592,1
1047352.0,ETS AFRA FRERES S.A,1.0,150000.0,0.0,0.0,-300000.0,-0.0413705728427063,3
1047365.0,AMATCO,20.0,41036.8,9543486.0,-10021266.31,16489939.38,0.257521792151047,2
1047378.0,AZROU MATERIAUX,1.0,200000.0,19808082.84,-20088084.69,38656161.98,0.6521220671099899,2
